accounting_date,fiscal_year,fiscal_month,calendar_year,calendar_month,calendar_day,company_code,customer_code,customer_district_code,item_code,business_area_code,item_group_code,item_class_code,item_type,bonus_group_code,environment_group_code,technology_group_code,commission_group_code,reporting_classification,light_source,warehouse_code,abc_class_code,abc_class_volume,business_chain_l1_code,business_chain_l1_name,contact_method_code,salesperson_code,order_type_code,market_segment,value_sales,value_cost,value_quantity,value_price_adjustment,currency,item_source_class,invoice_number,line_number,invoice_date,customer_order_number,order_date,dss_update_time
20120509,2012,11,2012,5,9,101,CUST_000001,410,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,Q1 ,J,J,ELC,ElectraCorp Ltd,NA                            ,SP_000001,NOR,Commercial & Industrial,218.4,178.1976,84,0,AUD,,INV_000001,LINE_000001,20120509,ORD_000001,20120509,49:58.7
20120216,2012,8,2012,2,16,101,CUST_000002,300,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000002,NOR,Commercial & Industrial,38.28,25.4568,12,0,AUD,,INV_000002,LINE_000001,20120216,ORD_000002,20120216,49:58.7
20120509,2012,11,2012,5,9,101,CUST_000002,300,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000002,NOR,Commercial & Industrial,40.2,25.4568,12,0,AUD,,INV_000003,LINE_000001,20120509,ORD_000003,20120508,49:58.7
20120109,2012,7,2012,1,9,101,CUST_000003,500,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,S0 ,J,J,GEW,Global Electric Wholesalers,NA                            ,SP_000003,EDI,Commercial & Industrial,19.14,12.7284,6,0,AUD,,INV_000004,LINE_000001,20120109,ORD_000004,20120109,49:58.7
20120504,2012,11,2012,5,4,101,CUST_000004,300,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000005,LINE_000002,20120504,ORD_000005,20120503,49:58.7
20120626,2012,12,2012,6,26,101,CUST_000004,300,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000006,LINE_000001,20120626,ORD_000006,20120626,49:58.7
20120605,2012,12,2012,6,5,101,CUST_000005,300,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000007,LINE_000001,20120605,ORD_000007,20120605,49:58.7
20120622,2012,12,2012,6,22,101,CUST_000005,300,ITEM_000001,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,V0 ,J,J,BPS,BrightPower Solutions,NA                            ,SP_000004,NOR,Commercial & Industrial,80.4,50.9136,24,0,AUD,,INV_000008,LINE_000001,20120622,ORD_000008,20120622,49:58.7
20120418,2012,10,2012,4,18,101,CUST_000006,310,ITEM_000002,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,T0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000005,NOR,Commercial & Industrial,20.1,12.7284,6,0,AUD,,INV_000009,LINE_000001,20120418,ORD_000009,20120418,49:58.7
20120118,2012,7,2012,1,18,101,CUST_000007,400,ITEM_000003,LMP                           ,LMP01008                      ,LMP01                         ,5,Trade          ,S                             ,SYLV                                    ,NET_SALES                     ,Discontinuing,Traditional,Q0 ,J,J,MED,Metro Electrical Distributors,NA                            ,SP_000006,NOR,Commercial & Industrial,76.56,50.9136,24,0,AUD,,INV_000010,LINE_000002,20120118,ORD_000010,20120111,49:58.7
